"G_CP [um]","L_CP [um]","Freq [GHz]","ang_rad(S(2,1)) []","mag(S(2,1)) []"
31,200,7.1191825,-0.559015251662866,0.973999441230937
31,200,7.11919,-0.560299594136079,0.973710380706808
31,200,7.1191975,-0.56160118562832,0.973415799199231
31,200,7.119205,-0.562920371586331,0.973115552785937
31,200,7.1192125,-0.564257506617857,0.972809492819111
31,200,7.11922,-0.565612954792925,0.972497465738871
31,200,7.1192275,-0.566987089956044,0.972179312878424
31,200,7.119235,-0.568380296052537,0.971854870259746
31,200,7.1192425,-0.56979296746603,0.971523968380187
31,200,7.11925,-0.571225509370711,0.971186431988743
31,200,7.1192575,-0.572678338096613,0.970842079852068
31,200,7.119265,-0.574151881510242,0.970490724509225
31,200,7.1192725,-0.575646579410254,0.970132172014837
31,200,7.11928,-0.577162883939916,0.969766221669742
31,200,7.1192875,-0.578701260015316,0.969392665738931
31,200,7.119295,-0.580262185772543,0.969011289155429
31,200,7.1193025,-0.581846153032211,0.968621869210028
31,200,7.11931,-0.583453667784081,0.968224175225538
31,200,7.1193175,-0.585085250691575,0.967817968215018
31,200,7.119325,-0.586741437618355,0.967403000522808
31,200,7.1193325,-0.588422780176522,0.966979015447684
31,200,7.11934,-0.590129846296987,0.966545746847358
31,200,7.1193475,-0.591863220828443,0.966102918721821
31,200,7.119355,-0.593623506157546,0.965650244776543
31,200,7.1193625,-0.595411322858448,0.96518742796262
31,200,7.11937,-0.597227310370889,0.964714159993049
31,200,7.1193775,-0.599072127707042,0.964230120834046
31,200,7.119385,-0.600946454190183,0.963734978169534
31,200,7.1193925,-0.602850990226909,0.963228386837168
31,200,7.1194,-0.604786458112723,0.962709988234697
31,200,7.1194075,-0.606753602874748,0.96217940969432
31,200,7.119415,-0.608753193152317,0.961636263823442
31,200,7.1194225,-0.610786022118475,0.961080147809424
31,200,7.11943,-0.612852908442443,0.960510642686771
31,200,7.1194375,-0.614954697298147,0.959927312563596
31,200,7.119445,-0.617092261418159,0.959329703805609
31,200,7.1194525,-0.619266502197784,0.958717344174491
31,200,7.11946,-0.621478350850595,0.958089741917982
31,200,7.1194675,-0.623728769619632,0.957446384808378
31,200,7.119475,-0.626018753044813,0.956786739126717
31,200,7.1194825,-0.628349329291815,0.956110248588652
31,200,7.11949,-0.63072156154559,0.955416333208196
31,200,7.1194975,-0.633136549470129,0.95470438809599
