"Freq [GHz]","mag(S(2,1)) []","ang_rad(S(2,1)) []"
7.1,0.999870534450671,-0.345878159400914
7.105,0.999875617794936,-0.346643567995719
7.11,0.999880190519809,-0.350155890356468
7.115,0.999804187542788,-0.343117236009294
7.12,0.999843257809289,-0.345069846224106
7.125,0.999850505544875,-0.345717339061339
7.13,0.999853454487502,-0.346141369551346
7.135,0.999855017022468,-0.34648705069993
7.14,0.999855961859053,-0.346796207833676
7.145,0.9998565785239,-0.347085393237505
7.15,0.999857000169011,-0.347362470047488
7.155,0.99985729652854,-0.347631652505696
7.16,0.9998575076396,-0.347895402524254
7.165,0.999857658123137,-0.348155254719093
7.17,0.999857763949647,-0.34841221542737
7.175,0.999857835930327,-0.348666972013915
7.18,0.999857881644203,-0.348920009970468
7.185,0.999857906561714,-0.349171681956938
7.19,0.999857914730156,-0.349422250321898
7.195,0.99985790920812,-0.349671914272481
7.2,0.999857892349973,-0.349920827792191
7.205,0.999857865997472,-0.350169111784903
7.21,0.999857831612056,-0.350416862505054
7.215,0.999857790368179,-0.350664157534791
7.22,0.999857743220452,-0.350911060102307
7.225,0.99985769095278,-0.351157622254731
7.23,0.999857634214879,-0.351403887225012
7.235,0.99985757354981,-0.351649891221987
7.24,0.999857509415002,-0.351895664801217
7.245,0.999857442198488,-0.352141233926847
7.25,0.999857372231583,-0.35238662080279
7.255,0.999857299798882,-0.352631844529656
7.26,0.999857225146213,-0.352876921628609
7.265,0.999857148487024,-0.353121866462574
7.27,0.999857070007541,-0.353366691577519
7.275,0.999856989870977,-0.353611407980956
7.28,0.999856908220976,-0.35385602537075
7.285,0.999856825184464,-0.354100552324259
7.29,0.999856740874012,-0.354344996455629
7.295,0.99985665538981,-0.354589364547304
7.3,0.999856568821322,-0.354833662660569
7.305,0.999856481248688,-0.355077896228914
7.31,0.999856392743901,-0.355322070137267
7.315,0.999856303371826,-0.355566188789513
7.32,0.999856213191054,-0.355810256166284
7.325,0.999856122254646,-0.356054275874619
7.33,0.999856030610769,-0.356298251190782
7.335,0.999855938303248,-0.356542185097332
7.34,0.999855845372048,-0.356786080315309
7.345,0.999855751853683,-0.357029939332289
7.35,0.999855657781589,-0.35727376442689
7.355,0.999855563186434,-0.357517557690266
7.36,0.999855468096405,-0.357761321044995
7.365,0.99985537253745,-0.358005056261732
7.37,0.9998552765335,-0.35824876497392
7.375,0.999855180106655,-0.358492448690835
7.38,0.999855083277364,-0.358736108809158
7.385,0.99985498606457,-0.358979746623287
7.39,0.99985488848585,-0.359223363334529
7.395,0.999854790557534,-0.359466960059321
7.4,0.999854692294815,-0.359710537836596
7.405,0.999854593711846,-0.359954097634392
7.41,0.999854494821826,-0.3601976403558
7.415,0.999854395637084,-0.360441166844319
7.42,0.999854296169142,-0.360684677888692
7.425,0.999854196428789,-0.360928174227276
7.43,0.99985409642613,-0.361171656552007
7.435,0.999853996170645,-0.361415125511988
7.44,0.999853895671235,-0.361658581716752
7.445,0.999853794936265,-0.361902025739234
7.45,0.999853693973604,-0.362145458118479
7.455,0.999853592790664,-0.362388879362106
7.46,0.999853491394428,-0.362632289948569
7.465,0.999853389791484,-0.362875690329221
7.47,0.999853287988052,-0.363119080930206
7.475,0.999853185990009,-0.363362462154194
7.48,0.999853083802913,-0.363605834381977
7.485,0.999852981432023,-0.363849197973932
7.49,0.999852878882321,-0.364092553271375
7.495,0.999852776158528,-0.364335900597801
7.5,0.999852673265123,-0.364579240260033
7.505,0.999852570206356,-0.364822572549285
7.51,0.999852466986265,-0.365065897742138
7.515,0.999852363608688,-0.36530921610145
7.52,0.999852260077274,-0.365552527877196
7.525,0.999852156395496,-0.365795833307249
7.53,0.999852052566662,-0.366039132618103
7.535,0.999851948593924,-0.366282426025542
7.54,0.999851844480287,-0.36652571373527
7.545,0.999851740228616,-0.366768995943493
7.55,0.999851635841649,-0.367012272837456
7.555,0.999851531321999,-0.367255544595954
7.56,0.999851426672162,-0.3674988113898
7.565,0.999851321894525,-0.367742073382266
7.57,0.999851216991373,-0.367985330729498
7.575,0.999851111964891,-0.368228583580896
7.58,0.999851006817172,-0.368471832079474
7.585,0.999850901550221,-0.368715076362204
7.59,0.999850796165958,-0.368958316560324
7.595,0.999850690666227,-0.369201552799641
7.6,0.999850585052796,-0.369444785200803
7.605,0.99985047932736,-0.369688013879567
7.61,0.999850373491549,-0.369931238947041
7.615,0.999850267546927,-0.370174460509914
7.62,0.999850161494999,-0.370417678670676
7.625,0.99985005533721,-0.370660893527822
7.63,0.99984994907495,-0.370904105176043
7.635,0.999849842709558,-0.37114731370641
7.64,0.999849736242322,-0.371390519206545
